smiles,LogS(mol/L),Normalized SMILES,index
Cn1c(=O)ccc2ccccc21,-1.046565013,Cn1c(=O)ccc2ccccc21,79
C[C@@H](O)c1ccccc1,-0.919627332,C[C@@H](O)c1ccccc1,80
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-5.366912005,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,81
O=C(O)c1ccc2ccccc2n1,-1.092339856,O=C(O)c1ccc2ccccc2n1,82
NNC(=O)c1ccncc1,0.008966107,NNC(=O)c1ccncc1,83
CC(C)OP(=O)(F)OC(C)C,-1.077640861,CC(C)OP(=O)(F)OC(C)C,84
NC(=O)c1cnccn1,-0.914211597,NC(=O)c1cnccn1,85
Nc1[nH]c(=O)ncc1F,-0.934809752,Nc1[nH]c(=O)ncc1F,86
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,-1.360859646,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,87
C[C@@H](N)C(=O)O,0.267639386,C[C@@H](N)C(=O)O,88
N[C@@H](CSCC(=O)O)C(=O)O,-2.049203481,N[C@@H](CSCC(=O)O)C(=O)O,89
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,-2.378550173,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,90
O=C(O)CBr,1.100185749,O=C(O)CBr,91
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-3.203210813,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,92
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,-0.017268581,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,93
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,-2.173113909,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,94
NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,-2.197150778,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,95
CC[C@@H](C)O,0.387733789,CC[C@@H](C)O,96
O=C(O)[C@@H](O)c1ccccc1,0.075414325,O=C(O)[C@@H](O)c1ccccc1,97
N=C(N)NCCC[C@H](N)C(=O)O,0.019020744,N=C(N)NCCC[C@H](N)C(=O)O,98
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,-5.214981022,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,99
O=C(O)c1cccnc1,-0.83501871,O=C(O)c1cccnc1,100
c1cn[nH]c1,-0.545200593,c1cn[nH]c1,101
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-1.094321865,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,102
S=P(N1CC1)(N1CC1)N1CC1,0.001791153,S=P(N1CC1)(N1CC1)N1CC1,103
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-4.66421518,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,104
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,-4.677216916,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,105
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,-0.963165279,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,106
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,-2.253604753,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,107
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,-1.750986396,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,108
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,-4.718142812,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,109
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.365928234,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,110
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,-3.617425301,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,111
O=c1[nH]c2cc(Cl)ccc2o1,-2.229336214,O=c1[nH]c2cc(Cl)ccc2o1,112
CCC(C)C(C)(COC(N)=O)COC(N)=O,-2.366005834,CCC(C)C(C)(COC(N)=O)COC(N)=O,113
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-2.425502756,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,114
NCCCNCCSP(=O)(O)O,0.669133903,NCCCNCCSP(=O)(O)O,115
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-3.585503168,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,116
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,-2.613978245,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,117
Nc1ncnc2nc[nH]c12,-2.117903946,Nc1ncnc2nc[nH]c12,118
CC[C@@H](C(N)=O)N1CCCC1=O,0.786043165,CC[C@@H](C(N)=O)N1CCCC1=O,119
O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,-2.372185623,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,120
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.591286234,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,121
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,-3.61153056,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,122
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,-1.540816062,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,123
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,-1.316933041,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,124
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-4.418804738,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,125
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,-4.442430605,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,126
O=NN(CCCl)C(=O)NC1CCCCC1,-3.323326442,O=NN(CCCl)C(=O)NC1CCCCC1,127
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-2.515047603,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,128
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.320605255,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,129
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.295578764,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],130
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.349530064,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,131
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.523763519,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,132
N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,-4.529563888,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,133
