smiles,LogS(mol/L),Normalized SMILES,index
[Br-].[Br-].c1ccc(C2C[N+]3(COC[N+]45CCC(CC4)C(c4ccccc4)C5)CCC2CC3)cc1,-3.7494,[Br-].[Br-].c1ccc(C2C[N+]3(COC[N+]45CCC(CC4)C(c4ccccc4)C5)CCC2CC3)cc1,26
[Br-].[Br-].c1ccc(CC2C[N+]3(COC[N+]45CCC(CC4)C(Cc4ccccc4)C5)CCC2CC3)cc1,-4.2777,[Br-].[Br-].c1ccc(CC2C[N+]3(COC[N+]45CCC(CC4)C(Cc4ccccc4)C5)CCC2CC3)cc1,27
[Br-].[K+],0.75568,[Br-].[K+],28
[Br-].[Li+],1.3237,[Br-].[Li+],29
[Br-].[Na+],0.9635,[Br-].[Na+],30
[Br-].[NH4+],1.9083,[Br-].[NH4+],31
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Fe],-3.292,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Fe],32
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2].[Fe+3].[NH4+],-7.1551,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2].[Fe+3].[NH4+],33
[C-]#N.[K+],1.0436,[C-]#N.[K+],34
[Ca+2].[Ca+2].[Ca+2].[O-]B([O-])[O-].[O-]B([O-])[O-],-0.68434,[Ca+2].[Ca+2].[Ca+2].[O-]B([O-])[O-].[O-]B([O-])[O-],35
[Ca+2].[Mg+2].[O-2].[O-2],-1.9884,[Ca+2].[Mg+2].[O-2].[O-2],36
[Ca+2].[O-2].[O-2].[O-2].[Sn+4],-5.6166,[Ca+2].[O-2].[O-2].[O-2].[Sn+4],37
[Ca+2].[O-2].[O-2].[O-2].[Ti+4],-5.6562,[Ca+2].[O-2].[O-2].[O-2].[Ti+4],38
[Ca+2].[OH-].[OH-],-1.9107,[Ca+2].[OH-].[OH-],39
[CaH2].[O-2].[Zr+2],-4.8731,[CaH2].[O-2].[Zr+2],40
[Cd+2].[Cl-].[Cl-],0.39671,[Cd+2].[Cl-].[Cl-],41
[Cd+2].[O-2],-4.7864,[Cd+2].[O-2],42
[Cd+2].[OH-].[OH-],-3.3236,[Cd+2].[OH-].[OH-],43
[Cd+2].[S-2],-4.0806,[Cd+2].[S-2],44
[Cd+2].[Te-2],-7.1015,[Cd+2].[Te-2],45
[Ce+3].[F-].[F-].[F-],-5.8633,[Ce+3].[F-].[F-].[F-],46
[CH2-]C(C)(C)c1ccc(S(=O)(=O)Nc2ccc3cc(S(=O)(=O)c4cc5c(c(S(=O)(=O)[O-])c4N)Oc4c(Cl)c6c(c(Cl)c4=N5)Oc4c(ccc(N)c4S(=O)(=O)[O-])N=6)ccc3c2)cc1.[K+].[Li+].[Na+],-2.1808,[CH2-]C(C)(C)c1ccc(S(=O)(=O)Nc2ccc3cc(S(=O)(=O)c4cc5c(c(S(=O)(=O)[O-])c4N)Oc4c(Cl)c6c(c(Cl)c4=N5)Oc4c(ccc(N)c4S(=O)(=O)[O-])N=6)ccc3c2)cc1.[K+].[Li+].[Na+],47
[CH2-]CCCC1(CC)C(=O)NC(=O)NC1=O.[Na+],-2.2711,[CH2-]CCCC1(CC)C(=O)NC(=O)NC1=O.[Na+],48
[CH2-]CCCCCCCCCCCOS(=O)(=O)c1ccccc1.[Na+],-3.5434,[CH2-]CCCCCCCCCCCOS(=O)(=O)c1ccccc1.[Na+],49
[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[NH4+].[NH4+].[NH4+].[Rh+3],-0.56877,[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[NH4+].[NH4+].[NH4+].[Rh+3],50
[Cl-].[Cl-].[Cl-].[Cr+3],-3.1996,[Cl-].[Cl-].[Cl-].[Cr+3],51
[Cl-].[Cl-].[Cl-].[Fe+3],0.60285,[Cl-].[Cl-].[Cl-].[Fe+3],52
[Cl-].[Cl-].[Cl-].[In+3],0.65526,[Cl-].[Cl-].[Cl-].[In+3],53
[Cl-].[Cl-].[Co+2],0.65442,[Cl-].[Cl-].[Co+2],54
[Cl-].[Cl-].[Mg+2],0.69221,[Cl-].[Cl-].[Mg+2],55
[Cl-].[Cl-].[NH3+]c1ccc(C(=O)NC2=Nc3ccccc3[NH2+]2)cc1,-2.5035,[Cl-].[Cl-].[NH3+]c1ccc(C(=O)NC2=Nc3ccccc3[NH2+]2)cc1,56
[Cl-].[Cl-].[NH3+]CCCCCCCC[NH3+],0.36214,[Cl-].[Cl-].[NH3+]CCCCCCCC[NH3+],57
[Cl-].[Cl-].[Ni+2],0.69493,[Cl-].[Cl-].[Ni+2],58
[Cl-].[Cl-].[Pd+2],-0.5037,[Cl-].[Cl-].[Pd+2],59
[Cl-].[Cl-].[Pd+2].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,-7.0267,[Cl-].[Cl-].[Pd+2].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,60
[Cl-].[Cl-].[Sn+2],-0.027457,[Cl-].[Cl-].[Sn+2],61
[Cl-].[Cl-].[Zn+2],0.501,[Cl-].[Cl-].[Zn+2],62
[Cl-].[Cl-].c1ccc2c(c1)CCC2[NH2+]CC12CCC(C[NH2+]C3CCc4ccccc43)(CC1)CC2,-7.1131,[Cl-].[Cl-].c1ccc2c(c1)CCC2[NH2+]CC12CCC(C[NH2+]C3CCc4ccccc43)(CC1)CC2,63
[Cl-].[Cs+],0.77377,[Cl-].[Cs+],64
[Cl-].[Cu+],-3.3235,[Cl-].[Cu+],65
[Cl-].[Cu+2].[Cu+2].[OH-].[OH-].[OH-],-5.254,[Cl-].[Cu+2].[Cu+2].[OH-].[OH-].[OH-],66
[Cl-].[K+],0.67777,[Cl-].[K+],67
[Cl-].[Li+],1.1344,[Cl-].[Li+],68
[Cl-].[Na+],0.73433,[Cl-].[Na+],69
[Cl-].[NH3+][C@H]1CC[C@@H]1S,0.47824,[Cl-].[NH3+][C@H]1CC[C@@H]1S,70
[Cl-].[NH3+][C@H]1CC[C@H]1S,0.47824,[Cl-].[NH3+][C@H]1CC[C@H]1S,71
[Cl-].[NH3+]C[C@@H]1CC[C@H]1S,-0.028221,[Cl-].[NH3+]C[C@@H]1CC[C@H]1S,72
[Cl-].[NH3+]C[C@H]1CC[C@H]1S,-0.028221,[Cl-].[NH3+]C[C@H]1CC[C@H]1S,73
[Cl-].[NH3+]C12CCC(c3ccccc3)(CC1)CC2,-2.9093,[Cl-].[NH3+]C12CCC(c3ccccc3)(CC1)CC2,74
[Cl-].[NH3+]c1cc([N+](=O)[O-])cc(Cl)c1O,-2.699,[Cl-].[NH3+]c1cc([N+](=O)[O-])cc(Cl)c1O,75
[Cl-].[NH3+]C1Cc2ccccc2Cc2ccccc21,-3.8489,[Cl-].[NH3+]C1Cc2ccccc2Cc2ccccc21,76
[Cl-].[NH3+]c1ccc2c(c1)C(=O)NC(CCCl)O2,-2.1796,[Cl-].[NH3+]c1ccc2c(c1)C(=O)NC(CCCl)O2,77
[Cl-].[NH4+],0.84228,[Cl-].[NH4+],78
[Cl-].c1ccc(C(OCC[NH2+]N2CCOCC2)c2ccccc2)cc1,-3.1944,[Cl-].c1ccc(C(OCC[NH2+]N2CCOCC2)c2ccccc2)cc1,79
[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-0.71882,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,80
[Cl-].c1ccc2c(c1)C[NH2+]c1ccccc1N2,-4.1415,[Cl-].c1ccc2c(c1)C[NH2+]c1ccccc1N2,81
[Co+2].[O-2],-5.7984,[Co+2].[O-2],82
[Co+2].[S-2],-5.0153,[Co+2].[S-2],83
[Co+3].[NH-]S(=O)(=O)c1ccc(O)c(N=Nc2c(O)ccc3ccccc23)c1.[NH-]S(=O)(=O)c1ccc([O-])c(N=Nc2c([O-])ccc3ccccc23)c1.[Na+],-2.2022,[Co+3].[NH-]S(=O)(=O)c1ccc(O)c(N=Nc2c(O)ccc3ccccc23)c1.[NH-]S(=O)(=O)c1ccc([O-])c(N=Nc2c([O-])ccc3ccccc23)c1.[Na+],84
[Co+3].[O-2].[OH-],-6.276,[Co+3].[O-2].[OH-],85
[Cr].[F].[F].[F],-0.33842,[Cr].[F].[F].[F],86
[Cr+3].[Cr+3].[Fe+3].[Fe+3].[Mn+3].[Mn+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.9727,[Cr+3].[Cr+3].[Fe+3].[Fe+3].[Mn+3].[Mn+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],87
[Cr+3].[Cr+3].[O-2].[O-2].[O-2],-7.6863,[Cr+3].[Cr+3].[O-2].[O-2].[O-2],88
[Cr+6].[Cr+6].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-].[OH-].c1ccncc1.c1ccncc1,0.39909,[Cr+6].[Cr+6].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-].[OH-].c1ccncc1.c1ccncc1,89
[Cs+].[I-],0.41123,[Cs+].[I-],90
[Cs+].[OH-],0.82416,[Cs+].[OH-],91
[Cu+].[Cu+].[SH-2],-4.2046,[Cu+].[Cu+].[SH-2],92
[Cu+].[I-],-5.9788,[Cu+].[I-],93
[Cu+2].[Cu+2].[NH-]S(=O)(=O)c1ccc([O-])c(N=Nc2c(S(=O)(=O)[O-])cc3cc(Nc4ccc5c([O-])c(N=Nc6cc(S([NH-])(=O)=O)ccc6O)c(S(=O)(=O)[O-])cc5c4)ccc3c2O)c1.[Na+].[Na+],-2.7105,[Cu+2].[Cu+2].[NH-]S(=O)(=O)c1ccc([O-])c(N=Nc2c(S(=O)(=O)[O-])cc3cc(Nc4ccc5c([O-])c(N=Nc6cc(S([NH-])(=O)=O)ccc6O)c(S(=O)(=O)[O-])cc5c4)ccc3c2O)c1.[Na+].[Na+],94
[Cu+2].[O-]c1ccccc1N=Cc1c([O-])ccc2ccccc12,-7.4325,[Cu+2].[O-]c1ccccc1N=Cc1c([O-])ccc2ccccc12,95
[Cu+2].[O-2],-5.3051,[Cu+2].[O-2],96
[Cu+2].c1ccc2c(c1)C1=NC2=Nc2[n-]c(c3ccccc23)N=C2N=C(N=c3[n-]c(c4ccccc34)=N1)c1ccccc12,-8.1584,[Cu+2].c1ccc2c(c1)-c1nc-2nc2[n-]c(nc3nc(nc4[n-]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,97
[Dy+3].[Dy+3].[O-2].[O-2].[O-2],-5.3676,[Dy+3].[Dy+3].[O-2].[O-2].[O-2],98
[F-].[F-].[F-].[La+3],-5.5354,[F-].[F-].[F-].[La+3],99
[F-].[F-].[F-].[Nd+3],-5.8938,[F-].[F-].[F-].[Nd+3],100
[F-].[F-].[Ni+2],-0.38332,[F-].[F-].[Ni+2],101
[F-].[K+],1.2284,[F-].[K+],102
[F-].[Li+],-1.2901,[F-].[Li+],103
[F-].[Na+],-0.0021873,[F-].[Na+],104
[Fe+2].[S-2],-3.6218,[Fe+2].[S-2],105
[Fe+3].[Fe+3].[O-2].[O-2].[O-2],-3.7261,[Fe+3].[Fe+3].[O-2].[O-2].[O-2],106
[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[Sr+2].[Sr+2],-6.6615,[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[Sr+2].[Sr+2],107
[Fe+3].[K+].[O-2].[O-2],-5.1036,[Fe+3].[K+].[O-2].[O-2],108
[Gd+3].[Gd+3].[O-2].[O-2].[O-2],-5.0152,[Gd+3].[Gd+3].[O-2].[O-2].[O-2],109
[Hf+4].[O-2].[O-2],-7.244,[Hf+4].[O-2].[O-2],110
[I-].[I-].[I-].[Rh+3],-4.6845,[I-].[I-].[I-].[Rh+3],111
[I-].[K+],0.93522,[I-].[K+],112
[I-].[Na+],1.0778,[I-].[Na+],113
[I-].[NH4+],1.0868,[I-].[NH4+],114
[In+3].[In+3].[O-2].[O-2].[O-2],-5.4435,[In+3].[In+3].[O-2].[O-2].[O-2],115
[K+].[K+].[O-2].[O-2].[O-2].[Ti+4],-5.5836,[K+].[K+].[O-2].[O-2].[O-2].[Ti+4],116
[K+].[O-]B(O)O,-0.31206,[K+].[O-]B(O)O,117
[La+3].[La+3].[O-2].[O-2].[O-2],-6.6704,[La+3].[La+3].[O-2].[O-2].[O-2],118
[Li+].[OH-],0.66212,[Li+].[OH-],119
[Lu+3].[Lu+3].[O-2].[O-2].[O-2],-4.9186,[Lu+3].[Lu+3].[O-2].[O-2].[O-2],120
[Mg+2].[Mg+2].[Nb+5].[Nb+5].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-6.8406,[Mg+2].[Mg+2].[Nb+5].[Nb+5].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],121
[Mg+2].[OH-].[OH-],-4.4691,[Mg+2].[OH-].[OH-],122
[Mn+2].[O-2],-4.9215,[Mn+2].[O-2],123
[Mn+4].[O-2].[O-2],-6.161,[Mn+4].[O-2].[O-2],124
[Mo+4].[O-2].[O-2],-3.7396,[Mo+4].[O-2].[O-2],125
[Mo+6].[O-2].[O-2].[O-2],-2.1582,[Mo+6].[O-2].[O-2].[O-2],126
[Mo+6].[O-2].[O-2].[OH-].[OH-],-2.3798,[Mo+6].[O-2].[O-2].[OH-].[OH-],127
[N-]=[N+]=[N-].[Na+],0.80401,[N-]=[N+]=[N-].[Na+],128
[N-]=[N+]=C1C(=O)NC(=O)NC1=O,-1.4718,[N-]=[N+]=C1C(=O)NC(=O)NC1=O,129
[N-]=[N+]=C1C=Cc2c(cccc2S(=O)(=O)Oc2ccc(C(=O)c3ccccc3)c(OS(=O)(=O)c3cccc4c3C=CC(=[N+]=[N-])C4=O)c2OS(=O)(=O)c2cccc3c2C=CC(=[N+]=[N-])C3=O)C1=O,-6.8209,[N-]=[N+]=C1C=Cc2c(cccc2S(=O)(=O)Oc2ccc(C(=O)c3ccccc3)c(OS(=O)(=O)c3cccc4c3C=CC(=[N+]=[N-])C4=O)c2OS(=O)(=O)c2cccc3c2C=CC(=[N+]=[N-])C3=O)C1=O,130
[N-]=[N+]=NCC(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,-1.1692,[N-]=[N+]=NCC(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,131
[N-]=[N+]=O,-1.5644,[N-]=[N+]=O,132
[Na+].[Na+].[O-2].[O-2].[O-2].[Ti+4],-5.8055,[Na+].[Na+].[O-2].[O-2].[O-2].[Ti+4],133
[Na+].[O-][Cl+3]([O-])([O-])[O-],-1.7665,[Na+].[O-][Cl+3]([O-])([O-])[O-],134
[Na+].[O-]n1ccccc1=S,0.63701,[Na+].[O-]n1ccccc1=S,135
[Na+].[SH-],0.99009,[Na+].[SH-],136
[Nb+5].[Nb+5].[O-2].[O-2].[O-2].[O-2].[O-2],-6.9474,[Nb+5].[Nb+5].[O-2].[O-2].[O-2].[O-2].[O-2],137
[Nd+3].[Nd+3].[O-2].[O-2].[O-2],-7.6349,[Nd+3].[Nd+3].[O-2].[O-2].[O-2],138
[Nd+3].[OH-].[OH-].[OH-],-5.0353,[Nd+3].[OH-].[OH-].[OH-],139
[NH-]c1ccc(S(=O)(=O)Nc2nc(-c3ccccc3)cs2)cc1.[Na+],-3.7615,[NH-]c1ccc(S(=O)(=O)Nc2nc(-c3ccccc3)cs2)cc1.[Na+],140
[NH-]S(=O)(=O)c1ccc(N)cc1.[Na+],0.019283,[NH-]S(=O)(=O)c1ccc(N)cc1.[Na+],141
[NH3+][C@@H](C(=O)[O-])c1ccccc1,-1.5083,[NH3+][C@@H](C(=O)[O-])c1ccccc1,142
[NH3+][C@H](CC(=O)[O-])c1cccc2ccccc12,-1.5902,[NH3+][C@H](CC(=O)[O-])c1cccc2ccccc12,143
[NH3+]CCCC[C@H](NC(=O)c1ccccc1)C(=O)[O-],-2.2845,[NH3+]CCCC[C@H](NC(=O)c1ccccc1)C(=O)[O-],144
[NH3+]CCCCCCCCCCCC(=O)[O-],-3.1964,[NH3+]CCCCCCCCCCCC(=O)[O-],145
[NH4+].[O-][Cl+3]([O-])([O-])[O-],0.24366,[NH4+].[O-][Cl+3]([O-])([O-])[O-],146
[Ni+2].[O-2],-4.5192,[Ni+2].[O-2],147
[O-][n+]1c2ccccc2nc2ccccc21,-3.2799,[O-][n+]1c2ccccc2nc2ccccc21,148
[O-][n+]1ccccc1,1.0218,[O-][n+]1ccccc1,149
[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21,-3.63,[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21,150
[O-][NH+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,-2.7055,[O-][NH+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,151
[O-][S+](Cc1ccccc1)Cc1ccccc1,-2.8588,[O-][S+](Cc1ccccc1)Cc1ccccc1,152
[O-][S+](CCCl)CC[S+]([O-])CCCl,-2.04,[O-][S+](CCCl)CC[S+]([O-])CCCl,153
[O-][S+](CCCl)CCCl,-1.16,[O-][S+](CCCl)CCCl,154
[O-][S+]1C[S+]([O-])C[S+]([O-])C1,-2.14,[O-][S+]1C[S+]([O-])C[S+]([O-])C1,155
[O-][S+]1CSC[S+]([O-])C1,-1.0007,[O-][S+]1CSC[S+]([O-])C1,156
[O-2].[O-2].[O-2].[O-2].[O-2].[Pb+2].[Ti+4].[Zr+4],-5.0982,[O-2].[O-2].[O-2].[O-2].[O-2].[Pb+2].[Ti+4].[Zr+4],157
[O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5],-2.3036,[O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5],158
[O-2].[O-2].[O-2].[O-2].[Pb+2].[PbH+3].[PbH+3],-4.0081,[O-2].[O-2].[O-2].[O-2].[Pb+2].[PbH+3].[PbH+3],159
[O-2].[O-2].[O-2].[Sb+3].[Sb+3],-5.0238,[O-2].[O-2].[O-2].[Sb+3].[Sb+3],160
[O-2].[O-2].[O-2].[Sm+3].[Sm+3],-5.5588,[O-2].[O-2].[O-2].[Sm+3].[Sm+3],161
[O-2].[O-2].[O-2].[Y+3].[Y+3],-5.5086,[O-2].[O-2].[O-2].[Y+3].[Y+3],162
[O-2].[O-2].[Pb+4],-7.3257,[O-2].[O-2].[Pb+4],163
[O-2].[O-2].[Pt+4],-7.2627,[O-2].[O-2].[Pt+4],164
[O-2].[O-2].[Ti+4],-5,[O-2].[O-2].[Ti+4],165
[O-2].[O-2].[V+4],-4.4003,[O-2].[O-2].[V+4],166
[O-2].[O-2].[W+4],-5.9557,[O-2].[O-2].[W+4],167
[O-2].[O-2].[Zr+4],-6.3503,[O-2].[O-2].[Zr+4],168
[O-2].[Pb+2],-3.5024,[O-2].[Pb+2],169
[O-2].[Pd+2],-8.0625,[O-2].[Pd+2],170
[O-2].[Sn+2],-8.8284,[O-2].[Sn+2],171
[O-2].[Y+2],-5.1757,[O-2].[Y+2],172
[O-2].[Zn+2],-4.4482,[O-2].[Zn+2],173
[OH-].[OH-].[Zn+2],-2.1858,[OH-].[OH-].[Zn+2],174
[S-]c1nc2ccccc2s1.[S-]c1nc2ccccc2s1.[Zn+2],-4.2859,[S-]c1nc2ccccc2s1.[S-]c1nc2ccccc2s1.[Zn+2],175
[S-2].[S-2].[Sn+4],-3.5808,[S-2].[S-2].[Sn+4],176
[S-2].[S-2].[W+4],-4.1391,[S-2].[S-2].[W+4],177
[S-2].[Zn+2],-2.9676,[S-2].[Zn+2],178
[Zn+2].c1ccc2c(c1)-c1nc3nc(nc4[n-]c(nc5[n-]c(nc-2n1)c1ccccc51)c1ccccc41)-c1ccccc1-3,-6.9837,[Zn+2].c1ccc2c(c1)-c1nc3nc(nc4[n-]c(nc5[n-]c(nc-2n1)c1ccccc51)c1ccccc41)-c1ccccc1-3,179
B#N,-6.3948,B#N,180
B12B3B4B1C234,-4.7424,B12B3B4B1C234,181
Br.Br.CC(C)(c1ccccc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,-6.1462,Br.Br.CC(C)(c1ccccc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,182
Br.Br.CC/N=C(/N)SCCN,-0.8466,Br.Br.CC/N=C(/N)SCCN,183
Br.Br.CC/N=C(/NCC)SCCN,-1.8306,Br.Br.CC/N=C(/NCC)SCCN,184
Br.Br.CNC(=S)NCCCN,-0.86268,Br.Br.CNC(=S)NCCCN,185
Br.Br.N=C(N)SCCCCN,-0.79897,Br.Br.N=C(N)SCCCCN,186
Br.Br.N=C(N)SCCCCSC(=N)N,-1.9023,Br.Br.N=C(N)SCCCCSC(=N)N,187
Br.Br.N=C(N)SCCN,0.55128,Br.Br.N=C(N)SCCN,188
Br.Br.N=C(N)SCCSC(=N)N,-0.88815,Br.Br.N=C(N)SCCSC(=N)N,189
Br.Br.NCCS/C(N)=N\c1ccccc1,-0.8196,Br.Br.NCCS/C(N)=N\c1ccccc1,190
Br.Br.Oc1ccc(CCNCC2CCc3ccccc3N2)cc1O,-2.5199,Br.Br.Oc1ccc(CCNCC2CCc3ccccc3N2)cc1O,191
Br.C#CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC)cc13,-4.0205,Br.C#CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC)cc13,192
Br.C/C=C/CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,-3.8703,Br.C/C=C/CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,193
Br.C[C@@H]1[C@@H]2Cc3ccccc3[C@]1(C)CCN2C,-3.0634,Br.C[C@@H]1[C@@H]2Cc3ccccc3[C@]1(C)CCN2C,194
Br.C=C(C)CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,-3.9846,Br.C=C(C)CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,195
Br.C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,-2.7601,Br.C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,196
Br.C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC(=O)N(C)C)cc13,-4.5561,Br.C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC(=O)N(C)C)cc13,197
Br.C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC)cc13,-4.5779,Br.C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC)cc13,198
Br.C=CCOc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,-4.5779,Br.C=CCOc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,199
Br.CC(C)CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,-4.005,Br.CC(C)CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,200
